group,year,coef,se,ci_lo,ci_hi,p
Non-Metro (CA),2017,-0.0037176881862340974,0.004865269238829485,-0.013253615894339888,0.005818239521871693,0.44479100050735165
Non-Metro (CA),2018,-0.0022390044528064986,0.002380690495397008,-0.0069051578237846346,0.002427148918171637,0.3469686782274848
Non-Metro (CA),2019,0.0,0.0,0.0,0.0,1.0
Non-Metro (CA),2020,-0.004207678893069642,0.0013572817572847988,-0.006867951137347847,-0.0015474066487914362,0.0019346988975521562
Non-Metro (CA),2021,-0.0022676842275644966,0.0010005809095476356,-0.004228822810277862,-0.0003065456448511309,0.02342888116379771
Non-Metro (CA),2022,-0.0025251169025511063,0.001576355495143973,-0.005614773673033293,0.0005645398679310805,0.10918431402946371
Non-Metro (CA),2023,-0.005547809019729538,0.0018664381110505867,-0.009206027717388689,-0.0018895903220703882,0.002954771270062606
Metro-Core (CA),2017,0.007533409029823184,0.0056777191800328145,-0.0035949205630411317,0.0186617386226875,0.18456254132199867
Metro-Core (CA),2018,0.0015115144407366614,0.004971112608782839,-0.008231866272477703,0.011254895153951025,0.7610824958514022
Metro-Core (CA),2019,0.0,0.0,0.0,0.0,1.0
Metro-Core (CA),2020,-0.0074402143548398855,0.0025316386243967068,-0.012402226058657432,-0.00247820265102234,0.003293870515310493
Metro-Core (CA),2021,-0.00748886738139172,0.0029027293975237914,-0.013178217000538351,-0.0017995177622450887,0.009881751223338453
Metro-Core (CA),2022,-0.007781949295215717,0.003094218725933046,-0.013846617998044488,-0.0017172805923869466,0.011903356229132411
Metro-Core (CA),2023,-0.010374537097115617,0.0033713444748519755,-0.01698237226782549,-0.0037667019264057454,0.002089060081689631
